[2013-10-16 16:13:01] EDIT HW1/models/table.py: 0
[2013-10-16 16:14:25] EDIT HW1/models/table.py: 1
[2013-10-16 16:14:46] EDIT HW1/models/table.py: 2
[2013-10-16 16:16:20] EDIT HW1/models/table.py: 0
[2013-10-16 16:33:24] EDIT HW1/views/default/index.html: 4
[2013-10-16 16:33:43] EDIT HW1/views/default/index.html: 2
[2013-10-16 16:34:01] EDIT HW1/controllers/default.py: 0
[2013-10-16 16:41:43] EDIT HW1/controllers/default.py: 0
[2013-10-16 16:42:51] EDIT HW1/views/default/index.html: -8
[2013-10-16 16:43:34] EDIT HW1/views/default/index.html: -1
[2013-10-16 16:46:08] EDIT HW1/controllers/default.py: 1
[2013-10-16 16:49:33] EDIT HW1/views/default/index.html: 4
[2013-10-16 16:49:43] EDIT HW1/views/default/index.html: 1
[2013-10-16 16:50:27] EDIT HW1/views/default/index.html: 0
[2013-10-16 16:51:16] EDIT HW1/views/default/index.html: 0
[2013-10-16 16:53:18] EDIT HW1/controllers/default.py: 6
[2013-10-16 16:53:18] EDIT HW1/controllers/default.py: 0
[2013-10-16 16:54:41] EDIT HW1/controllers/default.py: 1
[2013-10-16 16:54:42] EDIT HW1/controllers/default.py: 0
[2013-10-16 17:19:10] EDIT HW1/views/default/index.html: 2
[2013-10-16 19:27:31] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:32:12] EDIT HW1/controllers/default.py: 3
[2013-10-16 19:33:20] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:34:04] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:34:12] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:34:18] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:34:26] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:36:08] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:36:30] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:36:35] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:36:48] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:36:50] EDIT HW1/controllers/default.py: 0
[2013-10-16 19:37:44] EDIT HW1/controllers/default.py: -3
